
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
DISMANTLE 01-000059 O US AL BIRMINGHAM       33 32 14.00N 086 50 16.00W TOWER              1 00284 00827 U 9 I M                D2025263 
ADD       06-324952 U US CA FORT JONES       41 33 47.71N 122 49 44.69W UTILITY POLE       1 00053 02799 N 4 D N 2025AWP04323OE A2025280 
ADD       06-324953 U US CA FORT JONES       41 33 50.70N 122 49 44.64W UTILITY POLE       1 00052 02800 N 4 D N 2025AWP04324OE A2025280 
ADD       06-324954 U US CA AUBURN           38 57 04.78N 121 05 33.93W BLDG               1 00024 01492 N 4 D N 2023AWP04665OE A2025280 
ADD       06-324957 U US CA SHAFTER          35 30 23.52N 119 10 18.99W UTILITY POLE       1 00077 00507 U 4 D U 2025AWP11523OE A2025280 
ADD       06-324964 U US CA LIVERMORE        37 41 09.65N 121 45 47.34W UTILITY POLE       1 00066 00564 N 4 D N 2024AWP02779OE A2025280 
ADD       06-324971 U US CA BYRON            37 46 10.70N 121 38 54.63W UTILITY POLE       1 00058 00670 N 4 D N 2022AWP19105OE A2025280 
ADD       06-324972 U US CA BYRON            37 46 14.78N 121 38 46.46W UTILITY POLE       1 00052 00604 N 4 D N 2022AWP19106OE A2025280 
ADD       06-324973 U US CA BYRON            37 46 18.82N 121 38 38.49W UTILITY POLE       1 00062 00584 N 4 D N 2022AWP19107OE A2025280 
ADD       06-324974 U US CA BYRON            37 46 21.03N 121 38 34.13W UTILITY POLE       1 00063 00566 N 4 D N 2022AWP19108OE A2025280 
ADD       06-324975 U US CA BYRON            37 46 36.50N 121 38 13.05W UTILITY POLE       1 00057 00662 N 4 D N 2022AWP19109OE A2025280 
ADD       06-324976 U US CA BYRON            37 46 37.09N 121 38 12.31W UTILITY POLE       1 00057 00665 N 4 D N 2022AWP19110OE A2025280 
ADD       06-324977 U US CA BYRON            37 46 42.64N 121 38 05.34W UTILITY POLE       1 00062 00701 N 4 D N 2022AWP19111OE A2025280 
ADD       06-324978 U US CA BYRON            37 46 44.41N 121 38 03.04W UTILITY POLE       1 00063 00676 N 4 D N 2022AWP19112OE A2025280 
ADD       06-324979 U US CA BYRON            37 46 47.04N 121 37 59.63W UTILITY POLE       1 00062 00573 N 4 D N 2022AWP19113OE A2025280 
ADD       06-324980 U US CA BYRON            37 46 50.56N 121 37 55.07W UTILITY POLE       1 00063 00468 N 4 D N 2022AWP19114OE A2025280 
ADD       06-324981 U US CA BYRON            37 46 57.92N 121 37 45.54W UTILITY POLE       1 00063 00396 N 4 D N 2022AWP19115OE A2025280 
ADD       06-324982 U US CA BYRON            37 47 09.13N 121 37 31.06W UTILITY POLE       1 00081 00345 N 4 D N 2022AWP19116OE A2025280 
ADD       06-324983 U US CA BYRON            37 48 11.89N 121 36 12.51W UTILITY POLE       1 00063 00132 N 4 D N 2022AWP19117OE A2025280 
ADD       06-324985 U US CA MENLO PARK       37 28 42.96N 122 08 42.73W BLDG               1 00116 00130 N 4 D N 2023AWP18661OE A2025281 
ADD       06-324986 U US CA MENLO PARK       37 28 41.30N 122 08 36.90W BLDG               1 00116 00130 N 4 D N 2023AWP18662OE A2025281 
ADD       06-324987 U US CA MENLO PARK       37 28 40.16N 122 08 37.16W BLDG               1 00116 00130 N 4 D N 2023AWP18663OE A2025281 
ADD       06-324988 U US CA MENLO PARK       37 28 41.04N 122 08 43.65W BLDG               1 00116 00130 N 4 D N 2023AWP18664OE A2025281 
ADD       06-324989 U US CA FRESNO           36 45 16.39N 119 42 16.05W BLDG               1 00045 00369 N 4 D N 2022AWP10358OE A2025282 
ADD       06-324990 U US CA FRESNO           36 45 14.25N 119 42 16.33W BLDG               1 00045 00370 N 4 D N 2022AWP10359OE A2025282 
ADD       06-324993 U US CA FORT JONES       41 33 20.98N 122 49 36.17W UTILITY POLE       1 00047 02809 N 4 D N 2025AWP01661OE A2025283 
ADD       06-324994 U US CA SAN CARLOS       37 30 27.95N 122 14 50.11W BLDG               1 00057 00065 R 4 D N 2024AWP06568OE A2025283 
ADD       06-324995 O US CA LATHROP          37 50 03.69N 121 15 39.20W POLE               1 00100 00120 N 4 D N 2023AWP00369OE A2025283 
ADD       06-325129 U US CA FORT JONES       41 33 25.77N 122 49 38.10W UTILITY POLE       1 00047 02807 N 4 D N 2025AWP01660OE A2025286 
ADD       06-325130 U US CA FORT JONES       41 35 06.14N 122 50 18.52W UTILITY POLE       1 00048 02848 N 4 D N 2025AWP04311OE A2025286 
ADD       06-325134 U US CA FRENCH CAMP      37 54 44.74N 121 15 57.20W UTILITY POLE       1 00060 00078 N 4 D N 2024AWP14333OE A2025287 
ADD       06-325169 U US CA LOS ANGELES      33 57 33.72N 118 24 49.11W UTILITY POLE       1 00070 00209 N 4 D N 2024AWP03338OE A2025287 
ADD       06-325170 U US CA LOS ANGELES      33 57 33.62N 118 24 49.01W UTILITY POLE       1 00057 00196 N 4 D N 2024AWP03339OE A2025287 
ADD       06-325171 U US CA LOS ANGELES      33 57 33.82N 118 23 53.32W UTILITY POLE       1 00061 00185 N 4 D N 2024AWP03340OE A2025287 
ADD       06-325172 U US CA OXNARD           34 11 46.27N 119 11 03.27W UTILITY POLE       1 00043 00089 N 4 D N 2024AWP02924OE A2025287 
ADD       06-325178 U US CA LONG BEACH       33 47 45.71N 118 08 52.87W UTILITY POLE       1 00066 00121 N 4 D N 2024AWP03721OE A2025287 
ADD       06-325179 U US CA HAWTHORNE        33 55 24.92N 118 21 27.18W UTILITY POLE       1 00077 00154 N 4 D N 2024AWP03361OE A2025287 
ADD       06-325180 U US CA HAWTHORNE        33 55 31.76N 118 20 22.19W UTILITY POLE       1 00038 00098 N 4 D N 2024AWP03768OE A2025287 
ADD       06-325181 U US CA EL MONTE         34 04 54.07N 118 02 42.94W UTILITY POLE       1 00079 00364 N 4 D N 2024AWP04902OE A2025287 
ADD       06-325186 U US CA GOLETA           34 26 17.86N 119 49 43.75W UTILITY POLE       1 00030 00058 N 4 D N 2024AWP04811OE A2025287 
ADD       06-325187 U US CA PALM SPRINGS     33 50 11.48N 116 31 50.69W UTILITY POLE       1 00039 00532 N 4 D N 2024AWP04909OE A2025287 
ADD       06-325193 U US CA SANTA MONICA     34 01 19.07N 118 27 33.29W UTILITY POLE       1 00043 00210 N 4 D N 2024AWP05343OE A2025287 
ADD       06-325194 U US CA LOS ALAMITOS     33 47 06.37N 118 04 54.44W UTILITY POLE       1 00039 00056 N 4 D N 2024AWP05462OE A2025287 
ADD       06-325195 U US CA LOS ALAMITOS     33 46 56.21N 118 04 43.87W UTILITY POLE       1 00038 00049 N 4 D N 2024AWP05439OE A2025287 
ADD       06-325196 U US CA LOS ALAMITOS     33 46 52.57N 118 03 16.69W UTILITY POLE       1 00039 00055 N 4 D N 2024AWP02798OE A2025287 
ADD       06-325201 U US CA WATSONVILLE      36 54 10.48N 121 46 37.67W BLDG               1 00052 00068 N 4 D N 2023AWP14529OE A2025287 
ADD       06-325202 U US CA WATSONVILLE      36 54 08.76N 121 46 40.52W BLDG               1 00052 00067 N 4 D N 2023AWP14530OE A2025287 
ADD       06-325203 U US CA WATSONVILLE      36 54 06.95N 121 46 33.58W BLDG               1 00052 00070 N 4 D N 2023AWP14531OE A2025287 
ADD       06-325204 U US CA WATSONVILLE      36 54 05.01N 121 46 36.73W BLDG               1 00052 00069 N 4 D N 2023AWP14532OE A2025287 
ADD       06-325211 U US CA FORT JONES       41 34 09.37N 122 50 09.10W UTILITY POLE       1 00048 02787 N 4 D N 2025AWP04313OE A2025289 
ADD       06-325212 U US CA FORT JONES       41 34 07.91N 122 50 11.38W UTILITY POLE       1 00048 02786 N 4 D N 2025AWP04314OE A2025289 
ADD       06-325213 U US CA HAWTHORNE        33 55 00.71N 118 20 12.61W UTILITY POLE       1 00043 00095 N 4 D N 2024AWP04479OE A2025289 
ADD       06-325221 O US CA PASADINA         34 13 42.83N 118 04 04.56W TOWER              1 00305 05978 N 2 C N 2025AWP12582OE A2025294 
ADD       06-325244 U US CA FORT JONES       41 33 26.06N 122 49 36.55W UTILITY POLE       1 00047 02824 N 4 D N 2025AWP01662OE A2025294 
ADD       06-325250 U US CA FORT JONES       41 34 41.17N 122 48 15.07W UTILITY POLE       1 00035 02939 N 4 D N 2025AWP01739OE A2025294 
ADD       06-325253 U US CA LIVERMORE        37 44 20.56N 121 46 24.80W TOWER              1 00085 00654 N 4 D N 2024AWP15922OE A2025294 
ADD       06-325254 U US CA LIVERMORE        37 44 21.10N 121 46 25.83W TOWER              1 00085 00655 N 4 D N 2024AWP15923OE A2025294 
ADD       06-325255 U US CA LIVERMORE        37 44 20.15N 121 46 25.81W TOWER              1 00085 00654 N 4 D N 2024AWP15924OE A2025294 
ADD       06-325264 U US CA NOVATO           38 05 54.99N 122 31 18.99W T-L TWR            1 00133 00133 N 4 D N 2025AWP01250OE A2025296 
ADD       06-325265 U US CA NOVATO           38 05 45.99N 122 31 18.99W T-L TWR            1 00135 00135 N 4 D N 2025AWP01251OE A2025296 
ADD       06-325266 U US CA NOVATO           38 06 11.00N 122 31 19.99W T-L TWR            1 00133 00133 N 4 D N 2025AWP01248OE A2025296 
ADD       06-325267 U US CA NOVATO           38 06 02.99N 122 31 18.99W T-L TWR            1 00128 00128 N 4 D N 2025AWP01249OE A2025296 
ADD       06-325268 U US CA NOVATO           38 06 25.99N 122 31 19.99W T-L TWR            1 00138 00241 N 4 D N 2025AWP02325OE A2025296 
ADD       06-325269 U US CA VICHY SPRINGS    39 10 25.78N 123 09 27.84W T-L TWR            1 00099 01118 N 4 D N 2024AWP13148OE A2025296 
ADD       06-325270 U US CA VICHY SPRINGS    39 10 21.57N 123 09 30.43W T-L TWR            1 00074 01103 N 4 D N 2024AWP13149OE A2025296 
ADD       06-325271 U US CA VICHY SPRINGS    39 10 06.80N 123 09 39.50W T-L TWR            1 00064 01012 N 4 D N 2024AWP13150OE A2025296 
ADD       06-325272 U US CA VICHY SPRINGS    39 10 04.23N 123 09 40.16W T-L TWR            1 00094 01059 N 4 D N 2024AWP13151OE A2025296 
ADD       06-325273 U US CA VICHY SPRINGS    39 09 54.80N 123 09 42.71W T-L TWR            1 00080 00852 N 4 D N 2024AWP13156OE A2025296 
ADD       06-325274 U US CA VICHY SPRINGS    39 09 50.88N 123 09 43.61W T-L TWR            1 00084 00866 N 4 D N 2024AWP13157OE A2025296 
ADD       06-325275 U US CA VICHY SPRINGS    39 09 47.56N 123 09 44.46W T-L TWR            1 00071 00878 N 4 D N 2024AWP13158OE A2025296 
ADD       06-325276 U US CA VICHY SPRINGS    39 09 44.68N 123 09 45.19W T-L TWR            1 00074 00904 N 4 D N 2024AWP13163OE A2025296 
ADD       06-325277 U US CA VICHY SPRINGS    39 09 42.52N 123 09 45.74W T-L TWR            1 00062 00889 N 4 D N 2024AWP13165OE A2025296 
ADD       06-325278 U US CA VICHY SPRINGS    39 09 40.26N 123 09 46.32W T-L TWR            1 00062 00880 N 4 D N 2024AWP13166OE A2025296 
ADD       06-325279 U US CA VICHY SPRINGS    39 09 35.41N 123 09 47.56W T-L TWR            1 00094 00957 N 4 D N 2024AWP13167OE A2025296 
ADD       06-325280 U US CA VICHY SPRINGS    39 09 30.43N 123 09 48.68W T-L TWR            1 00071 00984 N 4 D N 2024AWP13168OE A2025296 
ADD       06-325283 U US CA REGINA HEIGHTS   39 08 51.63N 123 09 56.29W T-L TWR            1 00084 00834 N 4 D N 2024AWP13172OE A2025296 
ADD       06-325284 U US CA REGINA HEIGHTS   39 08 43.21N 123 09 56.53W T-L TWR            1 00079 00778 N 4 D N 2024AWP13173OE A2025296 
ADD       06-325285 U US CA REGINA HEIGHTS   39 08 36.83N 123 09 56.72W T-L TWR            1 00074 00749 N 4 D N 2024AWP13174OE A2025296 
ADD       06-325286 U US CA TALMAGE          39 08 27.63N 123 09 56.99W T-L TWR            1 00074 00777 N 4 D N 2024AWP13175OE A2025296 
OLD       08-000092 O US CO KIOWA            39 20 46.14N 104 25 23.76W TOWER              1 00210 06811 M 2 C N 2013ANM01532OE C2013210 
NEW       08-000092 O US CO KIOWA            39 20 46.14N 104 25 23.76W TOWER              1 00194 06791 M 2 C N 2024ANM06294OE C2025262 
OLD       08-000203 O US CO CALHAN           38 59 57.00N 104 18 49.00W TOWER              1 00236 07230 M 1 A N 2003ANM00493OE C2003075 
NEW       08-000203 O US CO CALHAN           38 59 56.79N 104 18 48.83W TOWER              1 00228 07222 M 1 A N 2024ANM06192OE C2025263 
OLD       08-000449 O US CO AURORA           39 43 35.00N 104 42 24.53W TOWER              1 00290 05874 D 1 A N 2012ANM00090OE C2012059 
NEW       08-000449 O US CO AURORA           39 43 35.00N 104 42 24.53W TOWER              1 00296 05879 D 1 A N 2024ANM01672OE C2025263 
OLD       08-001208 U US CO TRINIDAD         37 22 01.33N 104 15 58.06W TOWER              1 00260 05976 D 4 D N 2005ANM01336OE C2014124 
NEW       08-001208 O US CO MODEL            37 22 01.33N 104 15 58.06W TOWER              1 00260 05975 D 1 A N 2025ANM00503OE C2025263 
OLD       08-001214 O US CO EADS             38 26 21.30N 102 37 07.89W TOWER              1 00342 04444 M 4 D N 2024ANM05090OE C2025007 
NEW       08-001214 O US CO EADS             38 26 21.37N 102 37 07.81W TOWER              1 00341 04447 M 1 A P 2024ANM07382OE C2025263 
OLD       08-020441 O US CO GLENWOOD SPRINGS 39 30 17.62N 107 18 36.34W TOWER              1 00043 05966 N 1 A N 2017ANM03679OE C2017298 
NEW       08-020441 O US CO GLENWOOD SPRINGS 39 30 17.62N 107 18 36.34W TOWER              1 00043 05967 N 1 A N 2024ANM03618OE C2025263 
OLD       08-025114 O US CO AIR FORCE ACADEM 38 58 44.81N 104 51 29.80W TOWER              1 00070 06926 R 1 A N 2014ANM02996OE C2015078 
NEW       08-025114 O US CO USAFA            38 58 44.81N 104 51 29.80W TOWER              1 00074 06930 D 1 A N 2024ANM07229OE C2025263 
OLD       08-025669 O US CO CORTEZ           37 13 35.32N 108 40 19.69W TOWER              1 00199 06083 N 2 C N 2013ANM01251OE A2015308 
NEW       08-025669 O US CO CORTEZ           37 13 35.32N 108 40 19.69W TOWER              1 00199 06083 N 2 C N 2024ANM07668OE C2025263 
OLD       08-025703 U US CO COTOPAXI         38 22 27.00N 105 41 27.40W TOWER              1 00138 06592 N 4 D N 2012ANM01094OE A2016180 
NEW       08-025703 U US CO COTOPAXI         38 22 27.00N 105 41 27.40W TOWER              1 00133 06556 N 4 D N 2024ANM02348OE C2025263 
OLD       08-071509 U US CO BEULAH           38 03 16.91N 104 58 19.60W POLE               1 00085 07403 N 2 C N 2013ANM00546OE A2018026 
NEW       08-071509 O US CO BEAULAH          38 03 16.88N 104 58 19.65W TOWER              1 00085 07397 N 1 A N 2024ANM01653OE C2025263 
OLD       08-072325 U US CO COLORADO SPRINGS 38 51 43.98N 104 43 17.90W TOWER              1 00076 06417 N 4 D N 2015ANM03580OE C2023305 
NEW       08-072325 O US CO COLORADO SPRINGS 38 51 43.08N 104 43 18.21W TOWER              1 00076 06421 N 2 C N 2023ANM06175OE C2025263 
OLD       08-072674 U US CO BUENA VISTA      38 51 07.53N 106 07 24.22W TOWER              1 00030 08222 N 4 D N 2016ANM00366OE A2017181 
NEW       08-072674 O US CO BUENA VISTA      38 51 07.49N 106 07 24.19W TOWER              1 00060 08253 N 1 A N 2021ANM00238OE C2025263 
OLD       08-073367 U US CO FEDERAL HEIGHTS  39 53 02.03N 105 01 21.20W TOWER              1 00075 05624 N 1 A N 2016ANM00916OE A2018024 
NEW       08-073367 O US CO FEDERAL HEIGHTS  39 53 02.04N 105 01 21.20W TOWER              1 00085 05634 N 1 A N 2023ANM04337OE C2025263 
OLD       08-074403 O US CO SIMLA            39 08 20.34N 103 49 10.74W WINDMILL           1 00443 06258 W 4 D W 2016WTW06992OE C2018121 
NEW       08-074403 O US CO SIMLA            39 08 20.34N 103 49 10.74W WINDMILL           1 00443 06258 W 4 D W 2018WTW06973OE C2025293 
OLD       08-074411 O US CO SIMLA            39 09 51.77N 103 49 50.75W WINDMILL           1 00443 06300 W 4 D W 2016WTW07008OE A2018071 
NEW       08-074411 O US CO SIMLA            39 09 51.77N 103 49 50.75W WINDMILL           1 00443 06300 W 4 D W 2018WTW03747OE C2025293 
OLD       08-074425 O US CO SIMLA            39 09 43.27N 103 50 23.56W WINDMILL           1 00443 06321 W 4 D W 2016WTW06966OE A2018116 
NEW       08-074425 O US CO SIMLA            39 09 43.27N 103 50 23.56W WINDMILL           1 00443 06321 W 4 D W 2018WTW03605OE C2025293 
OLD       08-074437 U US CO SIMLA            39 08 14.40N 103 48 13.44W WINDMILL           1 00443 06215 W 4 D W 2016WTW07047OE A2018082 
NEW       08-074437 O US CO SIMLA            39 08 14.40N 103 48 13.44W WINDMILL           1 00443 06215 W 4 D W 2018WTW02209OE C2025293 
OLD       08-074438 O US CO SIMLA            39 09 58.25N 103 49 15.68W WINDMILL           1 00443 06271 W 4 D W 2016WTW07050OE A2018072 
NEW       08-074438 O US CO SIMLA            39 09 58.25N 103 49 15.68W WINDMILL           1 00443 06271 W 4 D W 2018WTW04147OE C2025293 
OLD       08-074449 O US CO SIMLA            39 09 07.06N 103 50 16.40W WINDMILL           1 00443 06299 W 4 D W 2016WTW07076OE A2018072 
NEW       08-074449 O US CO SIMLA            39 09 07.06N 103 50 16.40W WINDMILL           1 00443 06299 W 4 D W 2018WTW04144OE C2025293 
OLD       08-074450 O US CO SIMLA            39 09 06.57N 103 49 27.30W WINDMILL           1 00443 06272 W 4 D W 2016WTW07078OE A2018073 
NEW       08-074450 O US CO SIMLA            39 09 06.57N 103 49 27.30W WINDMILL           1 00443 06272 W 4 D W 2018WTW04139OE C2025293 
OLD       08-074454 U US CO SIMLA            39 09 00.99N 103 49 53.63W WINDMILL           1 00443 06291 W 4 D W 2016WTW07077OE A2018072 
NEW       08-074454 O US CO SIMLA            39 09 00.99N 103 49 53.63W WINDMILL           1 00443 06291 W 4 D W 2018WTW04145OE C2025293 
OLD       08-074818 O US CO SIMLA            39 08 16.29N 103 47 49.50W WINDMILL           1 00443 06189 N 4 D W 2016WTW07000OE A2018113 
NEW       08-074818 O US CO SIMLA            39 08 16.29N 103 47 49.50W WINDMILL           1 00443 06189 N 4 D W 2018WTW06103OE C2025293 
OLD       08-074821 O US CO SIMLA            39 08 12.22N 103 48 28.26W WINDMILL           1 00443 06217 N 4 D W 2016WTW07045OE A2018115 
NEW       08-074821 O US CO SIMLA            39 08 12.22N 103 48 28.26W WINDMILL           1 00443 06217 N 4 D W 2018WTW06377OE C2025293 
OLD       08-081950 O US CO FORT LUPTON      40 07 30.68N 104 44 40.97W TOWER              1 00169 05343 N 1 A N 2021ANM04648OE C2021260 
NEW       08-081950 O US CO FORT LUPTON      40 07 30.68N 104 44 40.97W TOWER              1 00169 05343 N 1 A N 2025ANM01198OE C2025262 
DISMANTLE 08-089444 U US CO STERLING         40 42 34.59N 102 52 11.10W WINDMILL           1 00499 04732 W 4 D W 2020WTW05034OE D2025262 
OLD       08-096356 O US CO COLORADO SPRINGS 38 46 48.55N 104 39 20.17W TOWER              1 00109 05982 N 2 C N 2022ANM01443OE A2022200 
NEW       08-096356 O US CO COLORADO SPRINGS 38 46 48.55N 104 39 20.17W TOWER              1 00109 05982 N 2 C N 2024ANM06725OE C2025263 
OLD       08-096384 U US CO DENVER           39 47 52.32N 104 40 40.01W T-L TWR            1 00105 05603 N 4 D N 2022ANM03459OE A2023047 
NEW       08-096384 U US CO DENVER           39 47 52.32N 104 40 40.00W T-L TWR            1 00102 05600 N 4 D N 2024ANM01918OE C2025263 
OLD       08-098898 U US CO AURORA           39 48 16.27N 104 43 20.06W UTILITY POLE       1 00101 05521 N 4 D N 2021ANM05676OE A2023059 
NEW       08-098898 U US CO AURORA           39 48 16.27N 104 43 20.05W T-L TWR            1 00102 05524 N 4 D N 2024ANM01940OE C2025263 
OLD       08-098899 U US CO AURORA           39 48 18.45N 104 43 20.05W UTILITY POLE       1 00101 05523 N 4 D N 2021ANM05677OE A2023059 
NEW       08-098899 U US CO AURORA           39 48 18.45N 104 43 20.04W T-L TWR            1 00103 05526 N 4 D N 2024ANM01939OE C2025263 
OLD       08-098900 U US CO AURORA           39 48 18.22N 104 43 08.35W UTILITY POLE       1 00152 05556 N 4 D N 2021ANM05678OE A2023059 
NEW       08-098900 U US CO AURORA           39 48 18.23N 104 43 08.35W T-L TWR            1 00141 05548 N 4 D N 2024ANM01938OE C2025263 
OLD       08-098901 U US CO AURORA           39 48 17.99N 104 42 55.95W UTILITY POLE       1 00146 05564 N 4 D N 2021ANM05679OE A2023059 
NEW       08-098901 U US CO AURORA           39 48 18.00N 104 42 55.94W T-L TWR            1 00137 05556 N 4 D N 2024ANM01937OE C2025263 
OLD       08-098902 U US CO AURORA           39 48 18.70N 104 42 45.19W UTILITY POLE       1 00126 05536 N 4 D N 2021ANM05680OE A2023059 
NEW       08-098902 U US CO AURORA           39 48 18.70N 104 42 45.20W T-L TWR            1 00116 05528 N 4 D N 2024ANM01936OE C2025263 
OLD       08-098903 U US CO AURORA           39 48 18.87N 104 42 36.81W UTILITY POLE       1 00115 05546 N 4 D N 2021ANM05681OE A2023059 
NEW       08-098903 U US CO AURORA           39 48 18.86N 104 42 36.81W T-L TWR            1 00107 05541 N 4 D N 2024ANM01935OE C2025263 
